Date,Industry,Rank,Median_RS
2026-09-02,Chemicals: Major Diversified,24,56.5
2026-09-02,Trucks/Construction/Farm Machinery,25,58.0
2026-09-02,Regional Banks,26,54.5
2026-09-02,Restaurants,27,65.0
2026-09-02,Packaged Software,28,54.0
2026-09-02,Steel,29,54.0
2026-09-02,Agricultural Commodities/Milling,30,58.0
2026-09-02,Integrated Oil,31,53.5
2026-09-02,Telecommunications Equipment,32,50.5
2026-09-02,Multi-Line Insurance,33,57.0
2026-09-02,Industrial Machinery,34,50.0
2026-09-02,Food: Specialty/Candy,35,53.5
2026-09-02,Electronic Equipment/Instruments,36,53.0
2026-09-02,Hospital/Nursing Management,37,48.0
2026-09-02,Home Furnishings,38,52.5
2026-09-02,Finance/Rental/Leasing,39,49.0
2026-09-02,Investment Banks/Brokers,40,47.0
2026-09-02,Information Technology Services,41,46.0
2026-09-02,Miscellaneous Commercial Services,42,47.0
2026-09-02,Beverages: Alcoholic,43,43.0
2026-09-02,Semiconductors,44,50.0
2026-09-02,Electronics/Appliances,45,39.0
2026-09-02,Building Products,46,48.5
2026-09-02,Food: Major Diversified,47,56.5
2026-09-02,Motor Vehicles,48,43.0
2026-09-02,Other Transportation,49,38.0
2026-09-02,Real Estate Development,50,46.0
2026-09-02,Miscellaneous Manufacturing,51,38.5
2026-09-02,Movies/Entertainment,52,49.0
2026-09-02,Investment Managers,53,34.0
2026-09-02,Air Freight/Couriers,54,39.0
2026-09-02,Automotive Aftermarket,55,36.0
2026-09-02,Financial Conglomerates,56,46.0
2026-09-02,Other Metals/Minerals,57,36.5
2026-09-02,Office Equipment/Supplies,58,30.0
2026-09-02,Apparel/Footwear,59,37.5
2026-09-02,Oil Refining/Marketing,60,38.0
2026-09-02,Life/Health Insurance,61,37.0
2026-09-02,Hotels/Resorts/Cruise lines,62,31.0
2026-09-02,Chemicals: Agricultural,63,31.0
2026-09-02,Engineering & Construction,64,29.0
2026-09-02,Major Banks,65,36.0
2026-09-02,Wireless Telecommunications,66,31.0
2026-09-02,Major Telecommunications,67,29.5
2026-09-02,Homebuilding,68,37.5
2026-09-02,Industrial Conglomerates,69,37.0
2026-09-02,Alternative Power Generation,70,28.5
2026-09-02,Pulp & Paper,71,32.0
2026-09-02,Marine Shipping,72,30.0
2026-09-02,Apparel/Footwear Retail,73,20.0
2026-09-02,Electric Utilities,74,23.0
2026-09-02,Gas Distributors,75,29.5
2026-09-02,Trucking,76,14.0
2026-09-02,Data Processing Services,77,27.0
2026-09-02,Aluminum,78,26.0
2026-09-02,Household/Personal Care,79,14.0
2026-09-02,Construction Materials,80,17.5
2026-09-02,Coal,81,23.0
2026-09-02,Forest Products,82,21.5
2026-09-02,Tobacco,83,14.0
2026-09-02,Other Consumer Services,84,8.0
2026-09-02,Broadcasting,85,6.0
2026-09-09,Oilfield Services/Equipment,1,92.0
2026-09-09,Biotechnology,2,80.0
2026-09-09,Electronics Distributors,3,88.5
2026-09-09,Electronic Components,4,86.5
2026-09-09,Medical Specialties,5,77.0
2026-09-09,Internet Retail,6,78.0
2026-09-09,Electronic Production Equipment,7,84.0
2026-09-09,Specialty Stores,8,77.0
2026-09-09,Containers/Packaging,9,80.0
2026-09-09,Pharmaceuticals: Major,10,72.0
2026-09-09,Metal Fabrication,11,70.0
2026-09-09,Chemicals: Specialty,12,73.0
2026-09-09,Integrated Oil,13,68.5
2026-09-09,Internet Software/Services,14,68.0
2026-09-09,Medical/Nursing Services,15,65.0
2026-09-09,Electrical Products,16,65.5
2026-09-09,Auto Parts: OEM,17,65.0
2026-09-09,Wholesale Distributors,18,68.0
2026-09-09,Textiles,19,64.5
2026-09-09,Other Consumer Specialties,20,59.5
2026-09-09,Industrial Specialties,21,64.0
2026-09-09,Telecommunications Equipment,22,54.0
2026-09-09,Aerospace & Defense,23,62.5
2026-09-09,Trucks/Construction/Farm Machinery,24,59.5
2026-09-09,Agricultural Commodities/Milling,25,60.0
2026-09-09,Food: Meat/Fish/Dairy,26,62.5
2026-09-09,Regional Banks,27,52.5
2026-09-09,Steel,28,53.5
2026-09-09,Pharmaceuticals: Other,29,46.0
2026-09-09,Chemicals: Major Diversified,30,52.5
2026-09-09,Multi-Line Insurance,31,56.0
2026-09-09,Restaurants,32,65.0
2026-09-09,Investment Banks/Brokers,33,51.0
2026-09-09,Industrial Machinery,34,48.0
2026-09-09,Movies/Entertainment,35,57.5
2026-09-09,Other Transportation,36,42.0
2026-09-09,Hospital/Nursing Management,37,46.0
2026-09-09,Food: Specialty/Candy,38,45.5
2026-09-09,Miscellaneous Commercial Services,39,53.5
2026-09-09,Finance/Rental/Leasing,40,48.5
2026-09-09,Packaged Software,41,46.0
2026-09-09,Food: Major Diversified,42,51.5
2026-09-09,Electronic Equipment/Instruments,43,40.0
2026-09-09,Home Furnishings,44,44.0
2026-09-09,Building Products,45,45.0
2026-09-09,Electronics/Appliances,46,35.5
2026-09-09,Semiconductors,47,47.0
2026-09-09,Pulp & Paper,48,54.0
2026-09-09,Real Estate Development,49,48.5
2026-09-09,Motor Vehicles,50,40.0
2026-09-09,Miscellaneous Manufacturing,51,39.5
2026-09-09,Air Freight/Couriers,52,37.0
2026-09-09,Information Technology Services,53,35.0
2026-09-09,Apparel/Footwear,54,39.5
2026-09-09,Other Metals/Minerals,55,33.0
2026-09-09,Oil Refining/Marketing,56,31.0
2026-09-09,Engineering & Construction,57,32.0
2026-09-09,Office Equipment/Supplies,58,30.0
2026-09-09,Financial Conglomerates,59,44.0
2026-09-09,Investment Managers,60,25.5
2026-09-09,Homebuilding,61,47.0
2026-09-09,Life/Health Insurance,62,36.0
2026-09-09,Gas Distributors,63,39.0
2026-09-09,Electric Utilities,64,28.5
2026-09-09,Beverages: Alcoholic,65,29.0
2026-09-09,Alternative Power Generation,66,31.5
2026-09-09,Major Banks,67,27.0
2026-09-09,Automotive Aftermarket,68,24.0
2026-09-09,Hotels/Resorts/Cruise lines,69,24.0
2026-09-09,Marine Shipping,70,38.0
2026-09-09,Chemicals: Agricultural,71,26.0
2026-09-09,Industrial Conglomerates,72,33.0
2026-09-09,Major Telecommunications,73,31.5
2026-09-09,Trucking,74,14.0
2026-09-09,Apparel/Footwear Retail,75,17.0
2026-09-09,Other Consumer Services,76,26.5
2026-09-09,Construction Materials,77,19.5
2026-09-09,Aluminum,78,22.0
2026-09-09,Household/Personal Care,79,10.0
2026-09-09,Forest Products,80,14.0
2026-09-09,Data Processing Services,81,13.0
2026-09-09,Tobacco,82,11.0
2026-09-12,Electronics Distributors,1,84.0
2026-09-12,Specialty Stores,2,58.0
2026-09-12,Aerospace & Defense,3,49.5
2026-09-12,Integrated Oil,4,42.5
2026-09-12,Wholesale Distributors,5,40.0
2026-09-12,Other Transportation,6,29.5
2026-09-12,Semiconductors,7,49.0
2026-09-12,Telecommunications Equipment,8,45.0
2026-09-12,Motor Vehicles,9,36.0
2026-09-12,Oil Refining/Marketing,10,28.0
2026-09-12,Marine Shipping,11,41.0
2026-09-12,Electronic Equipment/Instruments,12,24.0
2026-09-12,Major Banks,13,29.0
2026-09-12,Biotechnology,14,0.0
2026-09-12,Oilfield Services/Equipment,15,0.0
2026-09-12,Medical Specialties,16,0.0
2026-09-12,Electrical Products,17,11.5
2026-09-12,Investment Banks/Brokers,18,21.0
2026-09-12,Regional Banks,19,13.5
2026-09-12,Trucks/Construction/Farm Machinery,20,12.0
2026-09-12,Pharmaceuticals: Major,21,0.0
2026-09-12,Electric Utilities,22,21.0
2026-09-12,Electronic Production Equipment,23,0.0
2026-09-12,Auto Parts: OEM,24,0.0
2026-09-12,Major Telecommunications,25,0.0
2026-09-12,Electronic Components,26,0.0
2026-09-12,Containers/Packaging,27,0.0
2026-09-12,Office Equipment/Supplies,28,0.0
2026-09-12,Food: Meat/Fish/Dairy,29,0.0
2026-09-12,Steel,30,0.0
2026-09-12,Information Technology Services,31,5.5
2026-09-12,Chemicals: Specialty,32,0.0
2026-09-12,Internet Software/Services,33,0.0
2026-09-12,Textiles,34,0.0
2026-09-12,Industrial Specialties,35,0.0
2026-09-12,Metal Fabrication,36,0.0
2026-09-12,Agricultural Commodities/Milling,37,0.0
2026-09-12,Other Consumer Specialties,38,0.0
2026-09-12,Internet Retail,39,0.0
2026-09-12,Forest Products,40,0.0
2026-09-12,Homebuilding,41,14.5
2026-09-12,Industrial Machinery,42,0.0
2026-09-12,Tobacco,43,13.0
2026-09-12,Movies/Entertainment,44,0.0
2026-09-12,Electronics/Appliances,45,0.0
2026-09-12,Multi-Line Insurance,46,0.0
2026-09-12,Beverages: Alcoholic,47,0.0
2026-09-12,Packaged Software,48,0.0
2026-09-12,Household/Personal Care,49,1.0
2026-09-12,Data Processing Services,50,9.0
2026-09-12,Restaurants,51,0.0
2026-09-12,Chemicals: Major Diversified,52,0.0
2026-09-12,Hospital/Nursing Management,53,0.0
2026-09-12,Gas Distributors,54,0.5
2026-09-12,Finance/Rental/Leasing,55,0.0
2026-09-12,Pharmaceuticals: Other,56,0.0
2026-09-12,Home Furnishings,57,0.0
2026-09-12,Engineering & Construction,58,0.0
2026-09-12,Hotels/Resorts/Cruise lines,59,0.0
2026-09-12,Financial Conglomerates,60,0.0
2026-09-12,Medical/Nursing Services,61,0.0
2026-09-12,Miscellaneous Commercial Services,62,0.0
2026-09-12,Apparel/Footwear Retail,63,0.0
2026-09-12,Other Metals/Minerals,64,0.0
2026-09-12,Food: Specialty/Candy,65,0.0
2026-09-12,Real Estate Development,66,0.0
2026-09-12,Chemicals: Agricultural,67,0.0
2026-09-12,Aluminum,68,1.0
2026-09-12,Trucking,69,0.0
2026-09-12,Automotive Aftermarket,70,0.0
2026-09-12,Alternative Power Generation,71,0.0
2026-09-12,Building Products,72,0.0
2026-09-12,Air Freight/Couriers,73,0.0
2026-09-12,Miscellaneous Manufacturing,74,0.0
2026-09-12,Investment Managers,75,0.0
2026-09-12,Construction Materials,76,0.0
2026-09-12,Pulp & Paper,77,0.0
2026-09-12,Food: Major Diversified,78,0.0
2026-09-12,Life/Health Insurance,79,0.0
2026-09-12,Other Consumer Services,80,0.0
2026-09-12,Industrial Conglomerates,81,0.0
2026-09-12,Apparel/Footwear,82,0.0
